model,sentence,predicted_label,original_label,is_correct,intent_count
Llama-1B,"Show me all flights from Denver to Philadelphia on Saturday, list what airlines have flights from Boston to Philadelphia that leave before 6:30 AM, and show me fares from Philadelphia to San Francisco on Thursday morning.","(atis_flight, atis_airline, atis_airfare)","(atis_flight, atis_airline, atis_airfare)",1,3
Llama-1B,"I'd like to see the flights from Atlanta to Washington DC, and what is the flight number of the earliest flight between Boston and Washington DC?","(atis_flight, atis_flight_no)","(atis_flight, atis_flight_no)",1,2
Llama-1B,Show me all flights from San Diego to Los Angeles while also telling me which airlines have flights from San Francisco to Washington by way of Indianapolis.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"I need a flight from Denver to Philadelphia on Saturday, and please give me fares for that route.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, i would like to fly from philadelphia to dallas,(atis_flight),(atis_flight),1,1
Llama-1B,Show me fares for flights from Minneapolis to Seattle on July first 1993 and provide flight information on January twenty third 1992 from Denver to San Francisco.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"Show me all flights from San Francisco to Boston, Philadelphia, or Baltimore, and find the cheapest round trip fare between Boston and Washington.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"What are the cheapest flights from New York to Miami, and which airlines fly from Boston to San Francisco?","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B, which airlines serve atlanta,(atis_airline),(atis_airline),1,1
Llama-1B,"What airlines fly from Boston to Atlanta, and can you tell me the latest evening flight from Atlanta to Denver on July seventh?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Please give me a list of round trip fares less than 1000 dollars from Baltimore, Denver, and Pittsburgh to Philadelphia, while I'd like to fly from Denver to Pittsburgh with a stop in Atlanta, and also provide all the flights between Dallas and Baltimore and their cost.","(atis_flight, atis_airfare)","(atis_airfare, atis_flight, atis_flight#atis_airfare)",0,3
Llama-1B,Which cities are serviced by both American and Delta Airlines for flights between New York and Miami?,"(atis_city, atis_flight)","(atis_city, atis_flight)",1,2
Llama-1B,"I need to spend much of a day on the ground in Atlanta, so find me an early flight from Boston and the latest possible flight back from Atlanta, show me the airlines between Boston and Denver, and please give me the flight times in the morning on United Airlines for September twentieth from Philadelphia to San Francisco.","(atis_flight, atis_airline, atis_flight_time)","(atis_flight, atis_airline, atis_flight_time)",1,3
Llama-1B,Please list all flights between Boston and Atlanta while also showing which airlines fly between Boston and Baltimore.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Show me times for coach flights between Boston and Baltimore on Wednesday, and also tell me what US Air flights are available from Orlando to Cleveland leaving in the afternoon.","(atis_flight_time, atis_flight)","(atis_flight_time, atis_flight)",1,2
Llama-1B, what types of meals are available,(atis_meal),(atis_meal),1,1
Llama-1B,"Give me the flights and fares on December twenty-seventh from Indianapolis to Orlando while also showing me all flights from Chicago to Kansas City on Thursday, June seventeenth, arriving in Kansas City at around 7 o'clock in the evening.","(atis_airfare, atis_flight)","(atis_flight#atis_airfare, atis_flight)",0,2
Llama-1B,Show me flights from New York to Miami and tell me which airline is the cheapest to fly from Dallas to Baltimore on December twenty-fourth.,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B, lets see how much would a direct flight from atlanta to denver be on may seventh,(atis_airfare),(atis_airfare),1,1
Llama-1B,"What flights leave after 7 PM from Boston to Pittsburgh, and which airlines fly from Boston to Washington DC via other cities?","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"What is the earliest American Airlines flight leaving Philadelphia for Dallas, and how much time does it take to go between the airport and downtown by ground transportation in Dallas?","(atis_flight, atis_ground_service)","(atis_flight, atis_ground_service)",1,2
Llama-1B,"Sure, I'd like to determine what aircraft are used on July seventh for flights leaving from Boston and arriving in Atlanta, show me all flights that go from New York to Miami on Tuesday and return from Miami to New York on Sunday, and list the fares of US Air flights from Boston to Philadelphia.","(atis_aircraft, atis_flight, atis_airfare)","(atis_aircraft, atis_flight, atis_airfare)",1,3
Llama-1B,Please give me flights available from Denver to Philadelphia and tell me the lowest one-way fares from Denver to Atlanta.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"What is the cheapest fare from Boston to San Francisco, what flights can I find from Pittsburgh to San Francisco after 9 AM, and show me the airlines that fly from San Francisco to Boston.","(atis_airfare, atis_flight, atis_airline)","(atis_airfare, atis_flight, atis_airline)",1,3
Llama-1B,"What are the cheapest nonstop flights from New York to Miami one way, please give me the prices for all flights from Philadelphia to Denver Airport next Sunday, and show me all flights and fares from Dallas.","(atis_airfare, atis_flight)","(atis_flight, atis_airfare, atis_flight#atis_airfare)",0,3
Llama-1B, from sfo to denver,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me all flights on Thursday from Atlanta to Oakland that arrive before 5 PM and serve a meal, and also tell me what type of aircraft is used on the 8 AM flight from San Francisco to Atlanta.","(atis_flight, atis_aircraft)","(atis_flight, atis_aircraft)",1,2
Llama-1B,"Give me the flights and fares on December twenty-seventh from Indianapolis to Orlando, and on Thursday, I'd like a flight from St. Petersburg to Miami.","(atis_airfare, atis_flight)","(atis_flight#atis_airfare, atis_flight)",0,2
Llama-1B, i would like to fly united airlines from washington dc to denver colorado,(atis_flight),(atis_flight),1,1
Llama-1B, what is the cheapest flight from denver to pittsburgh on july twenty sixth,(atis_flight),(atis_flight),1,1
Llama-1B,Please list the flights from Phoenix to San Diego and tell me what airlines fly from Philadelphia to San Francisco.,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"Show me which companies fly between Boston and Oakland, the cheapest one-way flight from San Francisco to Boston leaving after 9 PM, and the least expensive one-way fare between Philadelphia and Boston.","(atis_airline, atis_flight, atis_airfare)","(atis_airline, atis_flight, atis_airfare)",1,3
Llama-1B, id like a flight tomorrow late from nashville to houston with dinner please,(atis_flight),(atis_flight),1,1
Llama-1B,Please tell me the flights between Boston and Philadelphia next Thursday while also letting me know the cheapest fare from Atlanta to Boston.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Show me all fares and flights from Philadelphia while also showing all flights from Baltimore to Dallas.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"Please list all flights from Oakland to Dallas on Sunday morning, specify the aircraft used on the first-class American Airlines flight from Philadelphia to San Francisco stopping in Dallas, and show me airlines with flight service from Boston to Denver, from Denver to Philadelphia, and from Philadelphia to Boston.","(atis_flight, atis_aircraft, atis_airline)","(atis_flight, atis_aircraft, atis_airline)",1,3
Llama-1B,"I want to fly from Atlanta to Philadelphia nonstop, and how much is a US Air Boston to Pittsburgh daily nonstop flight?","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"May I have a listing of flight numbers from Columbus, Ohio to Minneapolis, Minnesota on Monday, and I'd like information on Continental Airlines flights from Washington to Philadelphia.","(atis_flight_no, atis_flight)","(atis_flight_no, atis_flight)",1,2
Llama-1B,"What flights does Delta have between Dallas and Denver, and give me the lowest fare from Atlanta to Denver on May seventh, please.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"Show me the fares from Washington to Oakland, and I would like information on TWA flights from Washington to Philadelphia.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, what is the least expensive flight from atlanta to denver leaving on october twelfth,(atis_flight),(atis_flight),1,1
Llama-1B,Show me the least expensive one-way fare between Philadelphia and Boston while also finding the cheapest first-class round trip flights from New York to Miami.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, list all the flights that fly into general mitchell international,(atis_flight),(atis_flight),1,1
Llama-1B,"Please show me flights from Denver to Salt Lake City, airlines with flights from Boston to Denver, and round trip tickets from Denver to Oakland.","(atis_flight, atis_airline, atis_airfare)","(atis_flight, atis_airline, atis_airfare)",1,3
Llama-1B, fares between atlanta and boston,(atis_airfare),(atis_airfare),1,1
Llama-1B,"What is the first class fare from Baltimore to Dallas, and tell me the flights from Dallas to Baltimore.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"Display all nonstop flights from St. Petersburg and Charlotte that leave after noon and arrive after 5 PM, and tell me what kind of plane flies from Boston to Pittsburgh after noon.","(atis_flight, atis_aircraft)","(atis_flight, atis_aircraft)",1,2
Llama-1B,"Please give me the flight times in the morning on United Airlines for September twentieth from Philadelphia to San Francisco, and I'm also looking for a flight that goes from Ontario to Westchester with a stop in Chicago.","(atis_flight_time, atis_flight)","(atis_flight_time, atis_flight)",1,2
Llama-1B,"List the airlines that have nonstop afternoon flights from Boston to Oakland, and I need to make reservations from Denver to Boston.","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Show me the fares from Dallas to San Francisco, and I also need information on a flight from Washington to Fort Worth.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, all northwest and united airlines flights with stopovers in denver,(atis_flight),(atis_flight),1,1
Llama-1B, how much is a us air boston to pittsburgh daily nonstop flight,(atis_airfare),(atis_airfare),1,1
Llama-1B,"What flights do you have between Pittsburgh and Atlanta, what are the lowest one-way fares from Denver to Atlanta, and show all flights and fares from Atlanta to Dallas round trip after 12 PM that are less than 1100 dollars.","(atis_airfare, atis_flight)","(atis_flight, atis_airfare, atis_flight#atis_airfare)",0,3
Llama-1B, what flight goes from denver to baltimore first class on united airlines arriving on may seventh,(atis_flight),(atis_flight),1,1
Llama-1B, list the flights and time of arrival for flights arriving in dallas fort worth from boston before noon,(atis_flight),(atis_flight),1,1
Llama-1B,What about flights from Boston to San Diego and which airlines fly from Boston to Washington DC via other cities?,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"Does US Air fly from DC to Dallas, and what kind of ground transportation is there once I get to Dallas?","(atis_flight, atis_ground_service)","(atis_flight, atis_ground_service)",1,2
Llama-1B, is there a limousine service available from the pittsburgh airport,(atis_ground_service),(atis_ground_service),1,1
Llama-1B,I'd like a return flight from Denver to Atlanta with evening flights and to find the cheapest one-way fare from Baltimore to Denver.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, show me flights from baltimore to philadelphia,(atis_flight),(atis_flight),1,1
Llama-1B,List all round trip fares from St Petersburg to Washington while also listing all flights from Memphis to Seattle.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"What type of aircraft are used on flights from Cleveland to Dallas that leave before noon, and I would like a nonstop flight between Denver and San Francisco, leaving from Denver in the afternoon and arriving at 5 PM.","(atis_aircraft, atis_flight)","(atis_aircraft, atis_flight)",1,2
Llama-1B,"Show me round trip fares from Denver to Philadelphia, while also telling me what round trip flights between Atlanta and Denver qualify for fare code QX, and which airline flies between Denver and San Francisco.","(atis_airfare, atis_flight, atis_airline)","(atis_airfare, atis_flight, atis_airline)",1,3
Llama-1B, i would like an afternoon flight from washington to boston on august twentieth,(atis_flight),(atis_flight),1,1
Llama-1B, what is the ground transportation available in fort worth texas,(atis_ground_service),(atis_ground_service),1,1
Llama-1B,Please give me fares from Denver to Philadelphia while also telling me the cheapest flight from Denver to Oakland.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,I would like a flight from Atlanta to Denver and want to know the airfare for flights from Denver to Pittsburgh on Delta Airline.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Show me all flights with fares from Pittsburgh to San Francisco and tell me which airlines have flights from San Francisco to Washington by way of Indianapolis.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,List flights from San Francisco to Pittsburgh and show me the one-way fares from San Diego to Miami nonstop.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"I want to go from Denver to Atlanta round trip with a stop at Pittsburgh and may I have the cheapest fare, while also knowing the lowest round trip fare from Dallas to Atlanta.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Which airlines fly from Boston to Washington DC with a stopover in another city and what are the flights departing from San Francisco to Washington via Indianapolis that arrive by 9 PM?,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"What airlines fly from Philadelphia to San Francisco, and could you also tell me what flight leaves Dallas to San Francisco by United Airlines?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B, show the flights from milwaukee to orlando on a thursday morning,(atis_flight),(atis_flight),1,1
Llama-1B,"What is the schedule of flights from Boston to Denver next Monday, and does Continental fly from Denver to San Francisco, and how many American Airlines flights leave Denver on June tenth?","(atis_flight_time, atis_flight, atis_quantity)","(atis_flight_time, atis_flight, atis_quantity)",1,3
Llama-1B, please list pm flights from boston pittsburgh,(atis_flight),(atis_flight),1,1
Llama-1B,Please give me the cheapest round trip airfare from Atlanta to Philadelphia on August the first while also showing all flights and fares from Dallas and American Airlines flights from Phoenix to Denver.,"(atis_airfare, atis_flight)","(atis_flight, atis_airfare, atis_flight#atis_airfare)",0,3
Llama-1B,Find the cheapest flight from Denver to Atlanta with a stopover in Pittsburgh while also providing the most expensive one-way fare from Boston to Atlanta on American Airlines.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, list all flights leaving denver on continental on sunday after 2134,(atis_flight),(atis_flight),1,1
Llama-1B,"Could you tell me what flights you have that run daily from Boston to San Francisco and which airlines fly from Boston to Washington, please?","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B, i would like to see all flights from denver to philadelphia,(atis_flight),(atis_flight),1,1
Llama-1B,"Please tell me the round trip fare for US 3724 from Baltimore to Philadelphia, provide the times of the flights between Boston and Baltimore, and show me flights from Boston to Denver with a stopover in Philadelphia.","(atis_airfare, atis_flight_time, atis_flight)","(atis_airfare, atis_flight_time, atis_flight)",1,3
Llama-1B, what flights are available friday afternoon from philadelphia to oakland california,(atis_flight),(atis_flight),1,1
Llama-1B, id like the lowest fare from denver to pittsburgh,(atis_airfare),(atis_airfare),1,1
Llama-1B, please list the friday night flights from st paul to kansas city,(atis_flight),(atis_flight),1,1
Llama-1B,"Which airlines have flights from Denver to Pittsburgh, what ground transportation is available from the Pittsburgh airport, and show me all flights with fares from Pittsburgh to San Francisco.","(atis_ground_service, atis_airline, atis_flight)","(atis_ground_service, atis_airline, atis_flight)",1,3
Llama-1B,What is the fare from Boston to Oakland on United Airlines and the schedule of flights from Atlanta to Boston on August first?,"(atis_airfare, atis_flight_time)","(atis_airfare, atis_flight_time)",1,2
Llama-1B,"What is the fare for US 771 from Pittsburgh to Philadelphia, and please show me airlines with flights from Pittsburgh to Boston.","(atis_airfare, atis_airline)","(atis_airfare, atis_airline)",1,2
Llama-1B,"Provide the cost of flight DL 402 from Denver to Philadelphia, list flights from Los Angeles to Pittsburgh, and tell me what airlines fly from Boston to Pittsburgh.","(atis_airfare, atis_flight, atis_airline)","(atis_airfare, atis_flight, atis_airline)",1,3
Llama-1B,"What are the flight numbers of the flights going from San Francisco to Washington via Indianapolis, which flights go from San Francisco to Dallas, and what time is the last flight from Washington to San Francisco?","(atis_flight_no, atis_flight, atis_flight_time)","(atis_flight_no, atis_flight, atis_flight_time)",1,3
Llama-1B, i need information from denver to pittsburgh,(atis_flight),(atis_flight),1,1
Llama-1B, show me the flights from san diego to san francisco on southwest airlines,(atis_flight),(atis_flight),1,1
Llama-1B,I want a direct flight from Oakland to Boston that leaves on a Wednesday and find the cheapest one-way fare from Boston to Oakland while also checking what airlines fly from Boston to Pittsburgh.,"(atis_flight, atis_airfare, atis_airline)","(atis_flight, atis_airfare, atis_airline)",1,3
Llama-1B, flight from dallas to milwaukee,(atis_flight),(atis_flight),1,1
Llama-1B, what is the least expensive flight from baltimore to san francisco,(atis_flight),(atis_flight),1,1
Llama-1B,"I need a flight from Boston to Pittsburgh that leaves early in the morning while also requesting the flight number and time for the cheapest fare that is the least expensive first class fare from San Francisco to Pittsburgh, leaving after 8 PM Monday night.","(atis_flight, atis_flight_no)","(atis_flight, atis_flight_no)",1,2
Llama-1B,"Show me flights from San Francisco to Denver, then tell me what ground transportation is available from Denver and how much flight DL 402 from Denver to Philadelphia costs.","(atis_ground_service, atis_flight, atis_airfare)","(atis_ground_service, atis_flight, atis_airfare)",1,3
Llama-1B, i need an early flight from dallas to houston,(atis_flight),(atis_flight),1,1
Llama-1B,Give me flights from Denver to Baltimore and show me round trip fares from Las Vegas to Houston nonstop.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Show me the flights from Dallas to Baltimore at economy level and whether there is ground transportation from the Dallas airport to downtown Dallas.,"(atis_flight, atis_ground_service)","(atis_flight, atis_ground_service)",1,2
Llama-1B,"Is there a flight from Atlanta to San Francisco on November seventh at noon, and what type of aircraft is leaving after 2 PM from Boston to Oakland?","(atis_flight, atis_aircraft)","(atis_flight, atis_aircraft)",1,2
Llama-1B,"I would like the flight number and time for the cheapest first class fare from San Francisco to Pittsburgh leaving after 8 PM Monday night, find out what flights are available from Pittsburgh to Baltimore on July 25th, 1991, and show all flights and fares from Pittsburgh to San Francisco.","(atis_flight, atis_airfare)","(atis_flight_no, atis_flight, atis_flight#atis_airfare)",0,3
Llama-1B, what is sa,(atis_abbreviation),(atis_abbreviation),1,1
Llama-1B, whats the cheapest flight from denver to pittsburgh for both one way and round trip flights,(atis_flight),(atis_flight),1,1
Llama-1B, show me the flights from boston to pittsburgh,(atis_flight),(atis_flight),1,1
Llama-1B, what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,(atis_aircraft),(atis_aircraft),1,1
Llama-1B,"How much does it cost to fly from Atlanta to San Francisco, and I would like a US Air flight from Toronto to San Diego with a stopover in Denver, please, while also checking which airlines have flights from San Francisco to Washington by way of Indianapolis.","(atis_airfare, atis_flight, atis_airline)","(atis_airfare, atis_flight, atis_airline)",1,3
Llama-1B,"Yes, on the Delta flight leaving San Francisco at 2:25 PM and arriving in Philadelphia at 11:58 PM, what type of equipment is used on that flight, and what are the fares from Dallas to San Francisco on flight DL 217?","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Could you tell me the cheapest fare from Atlanta to Boston on the thirty-first of August and how I can get to the Boston airport from downtown Boston?,"(atis_airfare, atis_ground_service)","(atis_airfare, atis_ground_service)",1,2
Llama-1B, what is the earliest nonstop flight from washington to san francisco,(atis_flight),(atis_flight),1,1
Llama-1B, i want to fly from dallas to san francisco,(atis_flight),(atis_flight),1,1
Llama-1B,"Please give me a list of all the flights between Dallas and Baltimore and their cost, while also telling me the cheapest one-way flight from Pittsburgh to Atlanta and providing the round trip fares from Baltimore to Philadelphia.","(atis_airfare, atis_flight)","(atis_flight, atis_airfare, atis_flight#atis_airfare)",0,3
Llama-1B, what is the cost for these flights from baltimore to philadelphia,(atis_airfare),(atis_airfare),1,1
Llama-1B,"Give me the flights leaving Denver on August ninth coming back to Boston, show all flights and fares from Denver to San Francisco, and show me ground transportation in Denver.","(atis_flight, atis_airfare, atis_ground_service)","(atis_flight, atis_flight#atis_airfare, atis_ground_service)",0,3
Llama-1B,I'd like information on the least expensive round trip airfare from Pittsburgh to Boston while also showing me the flights from Oakland to Washington.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"I would like a flight on American Airlines from Baltimore to San Francisco with a stop in Denver, and also, what kind of airplane is flight UA 281 from Boston to Denver, and what times does the late afternoon flight leave from Washington for Denver?","(atis_aircraft, atis_flight, atis_flight_time)","(atis_aircraft, atis_flight, atis_flight_time)",1,3
Llama-1B,Please list me the flights and their cost of all airlines flying from Denver to Baltimore and show me the flights from Miami to Denver.,"(atis_airfare, atis_flight)","(atis_flight#atis_airfare, atis_flight)",0,2
Llama-1B,Which airline can fly me from Atlanta to Denver to San Francisco while also showing me round trip fares from New York to Miami?,"(atis_airline, atis_airfare)","(atis_airline, atis_airfare)",1,2
Llama-1B, phoenix to newark wednesday,(atis_flight),(atis_flight),1,1
Llama-1B,"How much is a US Air daily nonstop flight from Boston to Pittsburgh, and how far is the airport from downtown Pittsburgh?","(atis_airfare, atis_distance)","(atis_airfare, atis_distance)",1,2
Llama-1B, could you find me a flight from boston to san francisco that stops in denver,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me the flights arriving in Baltimore on June fourteenth, then tell me how many flights go from Dallas to Baltimore on July nineteenth and what the fare is for US 3724 from Baltimore to Philadelphia.","(atis_airfare, atis_flight, atis_quantity)","(atis_airfare, atis_flight, atis_quantity)",1,3
Llama-1B,"What's the earliest flight I can get between Boston and Dallas, and I would like to know the first class fare on a flight from Baltimore to Denver.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, how many flights are there between san francisco and philadelphia on august eighteenth,(atis_quantity),(atis_quantity),1,1
Llama-1B, which airlines go from san francisco to washington by way of indianapolis,(atis_airline),(atis_airline),1,1
Llama-1B, list all flights on continental leaving denver and arriving at chicago on monday before noon,(atis_flight),(atis_flight),1,1
Llama-1B,List all nonstop flights on Saturday from Dallas to San Francisco while telling me the fare for a one-way trip on November seventh from Dallas to San Francisco.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, what does the fare code yn mean,(atis_abbreviation),(atis_abbreviation),1,1
Llama-1B,Show me all flights from Atlanta to Washington with prices while also providing round trip fares from Baltimore to Philadelphia that are less than 1000 dollars.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"Do you have any airlines that would stop at Denver on the way from Baltimore to San Francisco, and show me the available flights from San Francisco to Boston on November twenty-fourth.","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Please show me airlines with flights from Pittsburgh to Boston, provide a list of all flights between Dallas and Baltimore with their cost, and show me all nonstop flights from San Francisco to New York.","(atis_flight, atis_airfare)","(atis_airline, atis_flight#atis_airfare, atis_flight)",0,3
Llama-1B, what is fare code qo mean,(atis_abbreviation),(atis_abbreviation),1,1
Llama-1B,"I'm looking for a flight from Boston to Denver that has no stopovers and is only in the afternoon, and I also want to know what car rentals are available next Sunday from Denver airport.","(atis_ground_service, atis_flight)","(atis_ground_service, atis_flight)",1,2
Llama-1B,Show me ground transportation options in Dallas for my flight from Philadelphia to Dallas on Saturday.,"(atis_ground_service, atis_flight)","(atis_ground_service, atis_flight)",1,2
Llama-1B,"I want to fly United Airlines from Boston to Denver, then find flights and fares from Denver to Oakland, and please inform me of the type of aircraft used on a flight from Atlanta to Denver before 12 o'clock noon.","(atis_flight, atis_airfare, atis_aircraft)","(atis_flight, atis_flight#atis_airfare, atis_aircraft)",0,3
Llama-1B,Could you please tell me the airlines that fly from Toronto to San Diego and if there is a flight from Boston to San Francisco making a stopover in Dallas Fort Worth?,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B, what flights are between washington and san francisco,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me the latest flight from Denver to Boston, give me the flight times in the morning on September twentieth from Pittsburgh to San Francisco, and please inform me of the type of aircraft used on a flight from Atlanta to Denver before 12 o'clock noon.","(atis_flight, atis_flight_time, atis_aircraft)","(atis_flight, atis_flight_time, atis_aircraft)",1,3
Llama-1B, i want to fly from boston to san francisco,(atis_flight),(atis_flight),1,1
Llama-1B, what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth,(atis_airfare),(atis_airfare),1,1
Llama-1B,"What Northwest Airlines flights leave Denver before noon, what is the flight number for the Continental flight leaving Denver at 12:20 PM to San Francisco, and what kind of airline is flight UA 281 from Boston to Denver?","(atis_flight, atis_flight_no, atis_airline)","(atis_flight, atis_flight_no, atis_airline)",1,3
Llama-1B, for each airline flying between boston and san francisco what is the earliest flight,(atis_flight),(atis_flight),1,1
Llama-1B,Please list all first class flights on United from Denver to Baltimore and tell me how many first class flights United Airlines has departing from Boston today.,"(atis_flight, atis_quantity)","(atis_flight, atis_quantity)",1,2
Llama-1B,Show me the prices of all flights from Atlanta to Washington DC and what flights go from Boston to Washington next Tuesday.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Requesting flight information for a flight from Boston to Baltimore on Tuesday while also asking what type of aircraft flies from Pittsburgh to Baltimore.,"(atis_aircraft, atis_flight)","(atis_aircraft, atis_flight)",1,2
Llama-1B,"Can you tell me the earliest flight leaving from Philadelphia to Dallas, and what are the flights and fares from Boston to Philadelphia?","(atis_flight, atis_airfare)","(atis_flight, atis_flight#atis_airfare)",0,2
Llama-1B,Please show me ground transportation in Denver during weekdays while also showing airlines with flights from Denver to Philadelphia.,"(atis_ground_service, atis_airline)","(atis_ground_service, atis_airline)",1,2
Llama-1B,"List aircraft types that fly between Boston and San Francisco, then find flights leaving Denver in the afternoon on Wednesday and arriving in San Francisco, and check if there is an airline with a flight from Philadelphia to San Francisco with a stop in Dallas.","(atis_aircraft, atis_flight, atis_airline)","(atis_aircraft, atis_flight, atis_airline)",1,3
Llama-1B, show me flights between new york city and las vegas,(atis_flight),(atis_flight),1,1
Llama-1B,"Give me a list of all the flights from Baltimore to Philadelphia, Denver to Philadelphia, or Pittsburgh to Philadelphia, and I would also like to know the type of aircraft leaving from Atlanta bound to Boston on Friday this week.","(atis_flight, atis_aircraft)","(atis_flight, atis_aircraft)",1,2
Llama-1B, show me round trip fares from san jose to salt lake city,(atis_airfare),(atis_airfare),1,1
Llama-1B,"Which airlines go from San Francisco to Washington by way of Indianapolis, and I would like a flight from Washington to Boston on August twentieth at 3:24 PM.","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B, instead of denver can i have the same flight from toronto to san diego but stopping in dallas fort worth,(atis_flight),(atis_flight),1,1
Llama-1B,"I need to make reservations from Denver to Boston, and could you also tell me the cheapest fare from Atlanta to Boston on the thirty-first of August?","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"What airline besides Continental flies between Boston and Denver, and what flights do you have leaving Denver and arriving in San Francisco?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"What are the flights from Boston to San Francisco and how much is a first class ticket for those, and where do the flights from Boston to Oakland stop?","(atis_flight, atis_airfare, atis_airport)","(atis_flight, atis_airfare, atis_airport)",1,3
Llama-1B,"What is the smallest aircraft available flying from Pittsburgh to Baltimore arriving on May seventh, and what are the cheapest one-way flights from Pittsburgh to Atlanta?","(atis_aircraft, atis_flight)","(atis_aircraft, atis_flight)",1,2
Llama-1B, can you show me flights from baltimore to dallas,(atis_flight),(atis_flight),1,1
Llama-1B,Display flights from Dallas to Atlanta which depart between 2 PM and 6 PM while showing me all the prices of flights from Baltimore to Dallas.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"Please list the flights and their cost of all airlines flying from Denver to Baltimore, tell me how many US Air flights leave from Washington, and what is the latest flight leaving Boston to Denver.","(atis_airfare, atis_quantity, atis_flight)","(atis_flight#atis_airfare, atis_quantity, atis_flight)",0,3
Llama-1B,Please show me all fares for flights from Denver to Oakland and flights from Chicago to Denver on Continental on Saturday morning.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"I would like the fare on US Air 1039 from Denver to Pittsburgh on April 20, and now I'd like a schedule for the flights on Tuesday morning from Dallas Fort Worth to Atlanta; also, is there a Thursday night flight from Pittsburgh to San Francisco on US Air?","(atis_airfare, atis_flight_time, atis_flight)","(atis_airfare, atis_flight_time, atis_flight)",1,3
Llama-1B, find the cheapest one way fare from boston to oakland,(atis_airfare),(atis_airfare),1,1
